Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
122,India,5,Uttarakhand,49,Dehradun,2011,Urban,185649,490,607,5793,752,2366,5078,342,163291,6558,372
123,India,5,Uttarakhand,50,Haridwar,2011,Rural,199642,3763,262,15741,63,2031,1416,251,172686,2996,433
124,India,5,Uttarakhand,50,Haridwar,2011,Urban,125702,429,614,3847,88,1842,1611,95,114389,2498,289
125,India,5,Uttarakhand,51,Nainital,2011,Rural,112670,5842,221,6449,644,9686,29809,133,57278,2404,204
126,India,5,Uttarakhand,51,Nainital,2011,Urban,74438,924,288,2467,350,790,3378,942,61108,4042,149
161,India,6,Haryana,69,Mahendragarh,2011,Rural,145235,330,99,3165,156,3559,31257,111,106020,431,107
127,India,5,Uttarakhand,52,Pauri Garhwal,2011,Rural,137102,728,103,2953,363,38777,61517,109,31495,885,172
128,India,5,Uttarakhand,52,Pauri Garhwal,2011,Urban,24415.99758,87.39151496,46.67501367,666.3603016,91.36385655,1010.960934,2053.700602,202.589421,19364.17216,850.0811001,42.70267208
129,India,5,Uttarakhand,53,Pithoragarh,2011,Rural,95130,65,21,398,365,12863,67801,149,11686,1698,84
130,India,5,Uttarakhand,53,Pithoragarh,2011,Urban,16412,3,29,115,80,286,1054,50,14458,292,45
131,India,5,Uttarakhand,54,Rudra Prayag,2011,Rural,51064,18,9,684,115,19289,23967,61,6278,590,53
132,India,5,Uttarakhand,54,Rudra Prayag,2011,Urban,6067.807579,103.8129821,16.88617014,208.157055,8.113011207,132.623963,468.8714161,18.76941129,5024.425538,71.81649323,14.33153835
133,India,5,Uttarakhand,55,Tehri Garhwal,2011,Rural,116988,173,60,3698,610,35837,59439,256,15145,1712,58
134,India,5,Uttarakhand,55,Tehri Garhwal,2011,Urban,16676.00242,2.608485038,17.32498633,213.6396984,29.63614345,104.0390656,629.2993984,346.410579,14636.82784,675.9188999,20.29732792
135,India,5,Uttarakhand,56,Udam Singh Nagar,2011,Rural,194695,19930,449,21911,238,1903,2232,89,145647,1756,540
136,India,5,Uttarakhand,56,Udam Singh Nagar,2011,Urban,101717.1924,2873.187018,360.1138299,4922.842945,142.8869888,1079.376037,1170.128584,161.2305887,88795.57446,1895.183507,316.6684617
137,India,5,Uttarakhand,57,Uttar Kashi,2011,Rural,61149,245,97,1254,5100,17414,22647,491,12843,954,104
138,India,5,Uttarakhand,57,Uttar Kashi,2011,Urban,5409,5,13,117,88,238,307,188,4425,23,5
139,India,6,Haryana,58,Ambala,2011,Rural,112525,1098,201,4609,82,1417,2479,98,98848,3608,85
140,India,6,Haryana,58,Ambala,2011,Urban,95546,613,102,3646,175,2152,3511,79,80343,4775,150
141,India,6,Haryana,59,Bhiwani,2011,Rural,161767.6995,751.0424566,164.557944,6373.000056,79.64604491,1716.668472,6223.581443,44.75976078,145261.8795,1005.778154,146.7856861
142,India,6,Haryana,59,Bhiwani,2011,Urban,52010.79423,172.4041806,136.933464,2103.495984,59.39282778,1002.253969,2061.426064,71.76633357,44443.15809,1896.445987,63.51732971
143,India,6,Haryana,60,Faridabad,2011,Rural,60315,444,94,3238,77,1659,3293,60,50970,338,142
144,India,6,Haryana,60,Faridabad,2011,Urban,292751,1122,699,19936,338,9055,22520,524,229218,8271,1068
145,India,6,Haryana,61,Fatehabad,2011,Rural,141266,1074,220,8796,47,829,1128,22,127487,1564,99
146,India,6,Haryana,61,Fatehabad,2011,Urban,34828,258,157,1658,17,506,427,4,31367,419,15
147,India,6,Haryana,62,Gurugram,2011,Rural,88013,203,78,2074,50,1136,4650,69,78400,1252,101
148,India,6,Haryana,62,Gurugram,2011,Urban,232629,1986,3710,5439,154,3569,9080,1446,195458,11198,589
149,India,6,Haryana,63,Hisar,2011,Rural,221028,892,177,8673,66,1445,1460,26,205736,2450,103
150,India,6,Haryana,63,Hisar,2011,Urban,104018,459,95,2801,68,1498,1737,61,94577,2615,107
151,India,6,Haryana,64,Jhajjar,2011,Rural,134340,414,80,2970,84,2055,4553,37,122355,1720,72
152,India,6,Haryana,64,Jhajjar,2011,Urban,49060,274,25,1498,36,2094,4891,137,37923,2125,57
153,India,6,Haryana,65,Jind,2011,Rural,184107.2163,1479.282719,117.1221847,4041.207481,85.62714342,1544.241242,1423.182177,9.842200393,173736.4898,1551.130782,119.0906248
154,India,6,Haryana,65,Jind,2011,Urban,57523,530,54,1692,34,1250,559,24,51639,1624,117
155,India,6,Haryana,66,Kaithal,2011,Rural,157389.7837,1088.717281,148.8778153,8428.792519,100.3728566,2186.758758,3530.817823,32.15779961,139159.5102,2587.869218,125.9093752
156,India,6,Haryana,66,Kaithal,2011,Urban,45783,242,140,1917,53,1719,1130,10,39076,1457,39
157,India,6,Haryana,67,Karnal,2011,Rural,193954.1559,1226.691078,320.9191818,7822.030152,135.9657593,2027.489411,3940.007775,21.99446106,174645.0186,3660.07827,153.9612274
158,India,6,Haryana,67,Karnal,2011,Urban,90548,418,177,2484,50,1152,1438,28,82916,1772,113
159,India,6,Haryana,68,Kurukshetra,2011,Rural,126220,711,75,4221,50,1494,2050,24,114258,3233,104
160,India,6,Haryana,68,Kurukshetra,2011,Urban,53171,423,138,1190,47,1105,1110,20,47822,1215,101
162,India,6,Haryana,69,Mahendragarh,2011,Urban,23290,19,86,475,31,484,2099,22,19889,143,42
163,India,6,Haryana,70,Panchkula,2011,Rural,42651,652,159,1245,17,650,3093,21,35947,849,18
164,India,6,Haryana,70,Panchkula,2011,Urban,67585,275,340,3670,81,864,628,50,59300,2322,55
165,India,6,Haryana,71,Panipat,2011,Rural,114970.8441,549.3089217,61.08081815,4204.969848,46.03424071,1112.510589,1677.992225,27.00553894,106058.9814,1174.92173,58.03877257
166,India,6,Haryana,71,Panipat,2011,Urban,105466,599,266,2835,488,1973,2246,84,93814,3050,111
167,India,6,Haryana,72,Rewari,2011,Rural,126261,265,80,1996,116,2557,15530,75,104550,647,445
168,India,6,Haryana,72,Rewari,2011,Urban,42867,107,143,548,36,445,2919,30,38091,499,49
169,India,6,Haryana,73,Rohtak,2011,Rural,115506,323,41,2784,87,1354,2535,36,107383,906,57
170,India,6,Haryana,73,Rohtak,2011,Urban,87427,163,119,1525,54,1137,1184,48,81253,1889,55
171,India,6,Haryana,74,Sirsa,2011,Rural,178789,2622,333,24571,83,1128,661,21,148276,926,168
172,India,6,Haryana,74,Sirsa,2011,Urban,61428,643,207,2766,19,1383,1237,18,53134,1913,108
173,India,6,Haryana,75,Sonipat,2011,Rural,180286,502,85,3951,83,2003,3868,83,168253,1333,125
174,India,6,Haryana,75,Sonipat,2011,Urban,89372,216,88,1847,73,1404,1722,105,81752,2051,114
175,India,6,Haryana,76,Yamunanagar,2011,Rural,133009,2221,191,8364,55,1009,1138,9,116953,2956,113
176,India,6,Haryana,76,Yamunanagar,2011,Urban,95154,605,285,3071,43,1028,2287,37,84113,3540,145
177,India,6,Haryana,604,Nuh,2011,Rural,137261,2271,150,16911,284,5219,21201,78,90686,267,194
178,India,6,Haryana,604,Nuh,2011,Urban,19759,136,35,1041,35,389,1204,29,16787,77,26
179,India,6,Haryana,619,Palwal,2011,Rural,127165,1088,156,6962,99,1873,5840,106,110487,372,182
180,India,6,Haryana,619,Palwal,2011,Urban,40645,152,48,1662,31,1011,2497,127,34401,632,84
181,India,6,Haryana,701,Charki Dadri,2011,Rural,83993.30047,389.9575434,85.44205597,3308.999944,41.35395509,891.3315279,3231.418557,23.24023922,75423.12049,522.2218461,76.21431392
182,India,6,Haryana,701,Charki Dadri,2011,Urban,11040.20577,36.59581937,29.06653596,446.5040162,12.60717222,212.7460312,437.5739359,15.23366643,9433.841914,402.554013,13.48267029
183,India,7,Delhi,77,Central,2011,Rural,3184,4,0,41,0,6,9,5,2874,195,50
